Vehicle_Name,Name,Price,StockType,Distance_from_30332,Dealership,Year,Make,Model
2018 Toyota RAV4,2018 Toyota RAV4 XLE,26950,Used,135,Jim Hudson Acura,2018,Toyota,RAV4
2019 Toyota Highlander,2019 Toyota Highlander Hybrid Limited,46990,Used,11,Carvana-Touchless Delivery To Your Home,2019,Toyota,Highlander
2020 Toyota RAV4,2020 Toyota RAV4 Hybrid XSE,42990,Used,164,Carvana-Touchless Delivery To Your Home,2020,Toyota,RAV4
2020 Toyota 4Runner,2020 Toyota 4Runner SR5,47800,Used,163,Spartanburg Chrysler Dodge Jeep RAM,2020,Toyota,4Runner
2020 Toyota Camry,2020 Toyota Camry XSE,37474,Toyota Certified,27,Jim Ellis Toyota of McDonough,2020,Toyota,Camry
2015 Toyota Camry,2015 Toyota Camry SE,18499,Used,149,"Vroom - Get It Delivered Nationwide, Contact-Free",2015,Toyota,Camry
2019 Toyota C-HR,2019 Toyota C-HR XLE,25990,Used,140,Driver's Way,2019,Toyota,C-HR
2015 Toyota 4Runner,2015 Toyota 4Runner Limited,38995,Used,21,Jim Tidwell Ford,2015,Toyota,4Runner
2020 Toyota 4Runner,2020 Toyota 4Runner TRD Off Road Premium,49988,Used,140,Royal Automotive,2020,Toyota,4Runner
2021 Toyota Camry,2021 Toyota Camry SE,29456,Used,145,Limbaugh Toyota,2021,Toyota,Camry
2014 Toyota RAV4,2014 Toyota RAV4 LE,17990,Used,153,Taylor Auto Sales-Lyman,2014,Toyota,RAV4
2018 Toyota Camry,2018 Toyota Camry SE,22602,Used,13,Car Connection Inc.,2018,Toyota,Camry
2020 Toyota Tacoma,2020 Toyota Tacoma SR5,41400,Toyota Certified,133,Serra Toyota,2020,Toyota,Tacoma
2017 Toyota 4Runner,2017 Toyota 4Runner Limited,44995,Used,143,Rusty Wallace Kia,2017,Toyota,4Runner
2019 Toyota Corolla,2019 Toyota Corolla SE,23999,Used,182,Short-Redmond Ford,2019,Toyota,Corolla
2020 Toyota Tundra,2020 Toyota Tundra SR5,45952,Used,13,AutoNation Nissan Marietta,2020,Toyota,Tundra
2018 Toyota 4Runner,2018 Toyota 4Runner Limited,43899,Used,140,Kia of Augusta,2018,Toyota,4Runner
2020 Toyota Tacoma,2020 Toyota Tacoma TRD Pro,52458,Used,112,Sand Mountain Toyota,2020,Toyota,Tacoma
2013 Toyota Highlander,2013 Toyota Highlander Limited,21990,Used,153,Taylor Auto Sales-Lyman,2013,Toyota,Highlander
2021 Toyota Highlander,2021 Toyota Highlander Hybrid XLE,43000,Toyota Certified,156,Serra Toyota of Decatur,2021,Toyota,Highlander
2019 Toyota RAV4,2019 Toyota RAV4 Limited,41707,Used,156,Reeder Chevrolet,2019,Toyota,RAV4
2018 Toyota Avalon,2018 Toyota Avalon XLE Premium,29990,Used,162,Carvana-Touchless Delivery To Your Home,2018,Toyota,Avalon
2018 Toyota Corolla,2018 Toyota Corolla SE,19980,Used,35,Honda Mall of Georgia,2018,Toyota,Corolla
2012 Toyota Prius,2012 Toyota Prius v Three,10999,Used,9,1st Choice Autos,2012,Toyota,Prius
2020 Toyota Corolla,2020 Toyota Corolla LE,23849,Used,150,EchoPark Automotive Knoxville Delivery Center,2020,Toyota,Corolla
2019 Toyota Land,2019 Toyota Land Cruiser V8,83795,Used,191,JTs Dodgeland of Columbia,2019,Toyota,Land
2019 Toyota Tundra,2019 Toyota Tundra Limited,52000,Used,35,Cronic Chrysler Dodge Jeep Ram,2019,Toyota,Tundra
